player,country,age,role,base_price_lakh,sold_price_lakh,team,capped_status,season,price_multiplier,is_overseas
Rohan Kunnummal,India,24,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Chethan L.R.,India,22,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Shaik Rasheed,India,18,BATSMAN,20,20.0,CSK,Uncapped,2023,1.0,False
Anmolpreet Singh,India,25,BATSMAN,20,20.0,SRH,Uncapped,2023,1.0,False
Himmat Singh,India,26,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Corbin Bosch,South Africa,28,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,True
Priyam Garg,India,22,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Saurabh Kumar,India,29,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Vivrant Sharma,India,23,ALL-ROUNDER,20,260.0,SRH,Uncapped,2023,13.0,False
Nishant Sindhu,India,18,ALL-ROUNDER,20,60.0,CSK,Uncapped,2023,3.0,False
Sanvir Singh,India,26,ALL-ROUNDER,20,20.0,SRH,Uncapped,2023,1.0,False
Shashank Singh,India,31,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Samarth Vyas,India,27,ALL-ROUNDER,20,20.0,SRH,Uncapped,2023,1.0,False
K.S. Bharat,India,29,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Mohammed Azharuddeen,India,29,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Dinesh Bana,India,18,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Abhimanyu Easwaran,India,27,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
N. Jagadeesan,India,27,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sumit Kumar,India,27,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Upendra Singh Yadav,India,26,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Vaibhav Arora,India,25,BOWLER,20,60.0,KKR,Uncapped,2023,3.0,False
K.M. Asif,India,29,BOWLER,30,0.0,UnSold,Uncapped,2023,0.0,False
